{'pid': 0, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'System Idle Process'}
{'pid': 4, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'System'}
{'pid': 192, 'username': 'DESKTOP-HD08MFE\\Gauri', 'name': 'chrome.exe'}
{'pid': 212, 'username': 'DESKTOP-HD08MFE\\Gauri', 'name': 'winpty-agent.exe'}
{'pid': 368, 'username': None, 'name': 'smss.exe'}
{'pid': 480, 'username': None, 'name': 'WUDFHost.exe'}
{'pid': 552, 'username': None, 'name': 'csrss.exe'}
{'pid': 556, 'username': None, 'name': 'svchost.exe'}
{'pid': 664, 'username': None, 'name': 'csrss.exe'}
{'pid': 688, 'username': None, 'name': 'wininit.exe'}
{'pid': 732, 'username': None, 'name': 'svchost.exe'}
{'pid': 772, 'username': None, 'name': 'winlogon.exe'}
{'pid': 812, 'username': None, 'name': 'svchost.exe'}
{'pid': 816, 'username': None, 'name': 'services.exe'}
{'pid': 832, 'username': None, 'name': 'lsass.exe'}
{'pid': 904, 'username': 'DESKTOP-HD08MFE\\Gauri', 'name': 'EMAILSCN.EXE'}
{'pid': 948, 'username': None, 'name': 'svchost.exe'}
{'pid': 980, 'username': None, 'name': 'svchost.exe'}
{'pid': 988, 'username': 'DESKTOP-HD08MFE\\Gauri', 'name': 'taskhostw.exe'}
{'pid': 1004, 'username': None, 'name': 'fontdrvhost.exe'}
{'pid': 1012, 'username': None, 'name': 'fontdrvhost.exe'}
{'pid': 1020, 'username': 'DESKTOP-HD08MFE\\Gauri', 'name': 'chrome.exe'}
{'pid': 1084, 'username': None, 'name': 'dwm.exe'}
{'pid': 1184, 'username': None, 'name': 'svchost.exe'}
{'pid': 1200, 'username': 'DESKTOP-HD08MFE\\Gauri', 'name': 'chrome.exe'}
{'pid': 1244, 'username': 'DESKTOP-HD08MFE\\Gauri', 'name': 'fmapp.exe'}
{'pid': 1300, 'username': None, 'name': 'svchost.exe'}
{'pid': 1308, 'username': None, 'name': 'svchost.exe'}
