{'pid': 192, 'name': 'chrome.exe', 'username': 'DESKTOP-HD08MFE\\Gauri'}
{'pid': 1020, 'name': 'chrome.exe', 'username': 'DESKTOP-HD08MFE\\Gauri'}
{'pid': 1200, 'name': 'chrome.exe', 'username': 'DESKTOP-HD08MFE\\Gauri'}
{'pid': 1704, 'name': 'chrome.exe', 'username': 'DESKTOP-HD08MFE\\Gauri'}
{'pid': 2272, 'name': 'chrome.exe', 'username': 'DESKTOP-HD08MFE\\Gauri'}
{'pid': 2676, 'name': 'chrome.exe', 'username': 'DESKTOP-HD08MFE\\Gauri'}
{'pid': 3104, 'name': 'chrome.exe', 'username': 'DESKTOP-HD08MFE\\Gauri'}
{'pid': 3228, 'name': 'chrome.exe', 'username': 'DESKTOP-HD08MFE\\Gauri'}
{'pid': 3520, 'name': 'chrome.exe', 'username': 'DESKTOP-HD08MFE\\Gauri'}
{'pid': 4684, 'name': 'chrome.exe', 'username': 'DESKTOP-HD08MFE\\Gauri'}
{'pid': 4860, 'name': 'chrome.exe', 'username': 'DESKTOP-HD08MFE\\Gauri'}
{'pid': 5380, 'name': 'chrome.exe', 'username': 'DESKTOP-HD08MFE\\Gauri'}
{'pid': 5616, 'name': 'chrome.exe', 'username': 'DESKTOP-HD08MFE\\Gauri'}
{'pid': 5872, 'name': 'chrome.exe', 'username': 'DESKTOP-HD08MFE\\Gauri'}
{'pid': 6428, 'name': 'chrome.exe', 'username': 'DESKTOP-HD08MFE\\Gauri'}
{'pid': 7360, 'name': 'chrome.exe', 'username': 'DESKTOP-HD08MFE\\Gauri'}
{'pid': 7996, 'name': 'chrome.exe', 'username': 'DESKTOP-HD08MFE\\Gauri'}
{'pid': 8360, 'name': 'chrome.exe', 'username': 'DESKTOP-HD08MFE\\Gauri'}
{'pid': 8440, 'name': 'chrome.exe', 'username': 'DESKTOP-HD08MFE\\Gauri'}
{'pid': 8552, 'name': 'chrome.exe', 'username': 'DESKTOP-HD08MFE\\Gauri'}
{'pid': 8688, 'name': 'chrome.exe', 'username': 'DESKTOP-HD08MFE\\Gauri'}
{'pid': 8696, 'name': 'chrome.exe', 'username': 'DESKTOP-HD08MFE\\Gauri'}
{'pid': 8700, 'name': 'chrome.exe', 'username': 'DESKTOP-HD08MFE\\Gauri'}
{'pid': 8748, 'name': 'chrome.exe', 'username': 'DESKTOP-HD08MFE\\Gauri'}
{'pid': 9060, 'name': 'chrome.exe', 'username': 'DESKTOP-HD08MFE\\Gauri'}
{'pid': 9348, 'name': 'chrome.exe', 'username': 'DESKTOP-HD08MFE\\Gauri'}
{'pid': 9428, 'name': 'chrome.exe', 'username': 'DESKTOP-HD08MFE\\Gauri'}
{'pid': 9624, 'name': 'chrome.exe', 'username': 'DESKTOP-HD08MFE\\Gauri'}
{'pid': 9716, 'name': 'chrome.exe', 'username': 'DESKTOP-HD08MFE\\Gauri'}
{'pid': 9736, 'name': 'chrome.exe', 'username': 'DESKTOP-HD08MFE\\Gauri'}
{'pid': 9740, 'name': 'chrome.exe', 'username': 'DESKTOP-HD08MFE\\Gauri'}
{'pid': 9884, 'name': 'chrome.exe', 'username': 'DESKTOP-HD08MFE\\Gauri'}
{'pid': 10148, 'name': 'chrome.exe', 'username': 'DESKTOP-HD08MFE\\Gauri'}
{'pid': 10368, 'name': 'chrome.exe', 'username': 'DESKTOP-HD08MFE\\Gauri'}
{'pid': 11208, 'name': 'chrome.exe', 'username': 'DESKTOP-HD08MFE\\Gauri'}
{'pid': 11312, 'name': 'chrome.exe', 'username': 'DESKTOP-HD08MFE\\Gauri'}
{'pid': 11592, 'name': 'chrome.exe', 'username': 'DESKTOP-HD08MFE\\Gauri'}
{'pid': 11724, 'name': 'chrome.exe', 'username': 'DESKTOP-HD08MFE\\Gauri'}
{'pid': 11772, 'name': 'chrome.exe', 'username': 'DESKTOP-HD08MFE\\Gauri'}
{'pid': 11972, 'name': 'chrome.exe', 'username': 'DESKTOP-HD08MFE\\Gauri'}
{'pid': 12028, 'name': 'chrome.exe', 'username': 'DESKTOP-HD08MFE\\Gauri'}
{'pid': 12060, 'name': 'chrome.exe', 'username': 'DESKTOP-HD08MFE\\Gauri'}
{'pid': 12244, 'name': 'chrome.exe', 'username': 'DESKTOP-HD08MFE\\Gauri'}
{'pid': 12268, 'name': 'chrome.exe', 'username': 'DESKTOP-HD08MFE\\Gauri'}
{'pid': 12536, 'name': 'chrome.exe', 'username': 'DESKTOP-HD08MFE\\Gauri'}
{'pid': 12984, 'name': 'chrome.exe', 'username': 'DESKTOP-HD08MFE\\Gauri'}
